"","rep.resultsdf.longitude..resultsdf.model.","rep.resultsdf.latitude..resultsdf.model."
"1",-77.0899996768379,-11.9449997514385
"2",-77.0899996768379,-11.9466664180984
"3",-77.0883330101778,-11.9491664180884
"4",-77.094999676818,-11.9499997514184
"5",-77.094166343488,-11.9499997514184
"6",-77.094166343488,-11.9499997514184
"7",-77.0899996768379,-11.9499997514184
"8",-77.0858330101877,-11.9499997514184
"9",-77.0858330101877,-11.9499997514184
"10",-77.094166343488,-11.9516664180783
"11",-77.1133330100785,-11.9524997514083
"12",-77.0908330101679,-11.9524997514083
"13",-77.1016663434582,-11.9558330847282
"14",-77.1008330101282,-11.9558330847282
"15",-77.0866663435178,-11.9566664180582
"16",-77.1099996767584,-11.9574997513882
"17",-77.0874996768478,-11.9574997513882
"18",-77.0874996768478,-11.9574997513882
"19",-77.0908330101679,-11.9583330847182
"20",-77.0883330101778,-11.9583330847182
"21",-77.0866663435178,-11.9583330847182
"22",-77.1041663434483,-11.9591664180481
"23",-77.0991663434681,-11.9599997513781
"24",-77.0916663434979,-11.9599997513781
"25",-77.0899996768379,-11.9599997513781
"26",-77.0908330101679,-11.9608330847081
"27",-77.0891663435078,-11.9608330847081
"28",-77.0983330101381,-11.9616664180381
"29",-77.0849996768577,-11.9616664180381
"30",-77.095833010148,-11.9624997513681
"31",-77.095833010148,-11.9624997513681
"32",-77.0891663435078,-11.9633330846981
"33",-77.0866663435178,-11.9633330846981
"34",-77.0866663435178,-11.9633330846981
"35",-77.0849996768577,-11.9633330846981
"36",-77.1024996767882,-11.964999751358
"37",-77.1024996767882,-11.964999751358
"38",-77.0899996768379,-11.964999751358
"39",-77.0891663435078,-11.964999751358
"40",-77.0874996768478,-11.964999751358
"41",-77.1074996767684,-11.965833084688
"42",-77.1024996767882,-11.966666418018
"43",-77.1083330100984,-11.967499751348
"44",-77.0999996767982,-11.967499751348
"45",-77.0899996768379,-11.967499751348
"46",-77.0866663435178,-11.967499751348
"47",-77.094999676818,-11.9683330846779
"48",-77.094166343488,-11.9683330846779
"49",-77.0916663434979,-11.9683330846779
"50",-77.1091663434284,-11.9699997513379
"51",-77.0866663435178,-11.9699997513379
"52",-77.1058330101083,-11.9708330846679
"53",-77.1058330101083,-11.9708330846679
"54",-77.0991663434681,-11.9708330846679
"55",-77.093333010158,-11.9708330846679
"56",-77.0899996768379,-11.9708330846679
"57",-77.0891663435078,-11.9708330846679
"58",-77.0891663435078,-11.9708330846679
"59",-77.0991663434681,-11.9724997513278
"60",-77.0974996768081,-11.9724997513278
"61",-77.094999676818,-11.9724997513278
"62",-77.1041663434483,-11.9733330846578
"63",-77.1041663434483,-11.9733330846578
"64",-77.1083330100984,-11.9741664179878
"65",-77.1033330101183,-11.9741664179878
"66",-77.1016663434582,-11.9741664179878
"67",-77.0999996767982,-11.9741664179878
"68",-77.0991663434681,-11.9741664179878
"69",-77.0983330101381,-11.9741664179878
"70",-77.0974996768081,-11.9741664179878
"71",-77.093333010158,-11.9741664179878
"72",-77.0924996768279,-11.9741664179878
"73",-77.0924996768279,-11.9741664179878
"74",-77.0883330101778,-11.9741664179878
"75",-77.1033330101183,-11.9749997513178
"76",-77.094999676818,-11.9749997513178
"77",-77.093333010158,-11.9749997513178
"78",-77.0891663435078,-11.9749997513178
"79",-77.0874996768478,-11.9749997513178
"80",-77.0874996768478,-11.9749997513178
"81",-77.1083330100984,-11.9758330846478
"82",-77.0991663434681,-11.9758330846478
"83",-77.093333010158,-11.9758330846478
"84",-77.0891663435078,-11.9758330846478
"85",-77.1016663434582,-11.9766664179777
"86",-77.1016663434582,-11.9766664179777
"87",-77.0966663434781,-11.9766664179777
"88",-77.094999676818,-11.9766664179777
"89",-77.094999676818,-11.9766664179777
"90",-77.0874996768478,-11.9766664179777
"91",-77.1091663434284,-11.9774997513077
"92",-77.1083330100984,-11.9774997513077
"93",-77.1066663434383,-11.9774997513077
"94",-77.1066663434383,-11.9774997513077
"95",-77.0991663434681,-11.9774997513077
"96",-77.0974996768081,-11.9774997513077
"97",-77.094999676818,-11.9774997513077
"98",-77.0899996768379,-11.9774997513077
"99",-77.0891663435078,-11.9774997513077
"100",-77.0891663435078,-11.9774997513077
"101",-77.0874996768478,-11.9774997513077
"102",-77.1024996767882,-11.9783330846377
"103",-77.094166343488,-11.9783330846377
"104",-77.0908330101679,-11.9783330846377
"105",-77.0874996768478,-11.9783330846377
"106",-77.0874996768478,-11.9783330846377
"107",-77.0841663435277,-11.9783330846377
"108",-77.0841663435277,-11.9783330846377
"109",-77.1058330101083,-11.9791664179677
"110",-77.1016663434582,-11.9791664179677
"111",-77.1008330101282,-11.9791664179677
"112",-77.0974996768081,-11.9791664179677
"113",-77.093333010158,-11.9791664179677
"114",-77.0924996768279,-11.9791664179677
"115",-77.0924996768279,-11.9791664179677
"116",-77.0891663435078,-11.9791664179677
"117",-77.0891663435078,-11.9791664179677
"118",-77.0891663435078,-11.9791664179677
"119",-77.1124996767485,-11.9799997512977
"120",-77.1099996767584,-11.9799997512977
"121",-77.1099996767584,-11.9799997512977
"122",-77.1024996767882,-11.9799997512977
"123",-77.1024996767882,-11.9799997512977
"124",-77.1024996767882,-11.9799997512977
"125",-77.0924996768279,-11.9799997512977
"126",-77.0908330101679,-11.9799997512977
"127",-77.0908330101679,-11.9799997512977
"128",-77.0866663435178,-11.9799997512977
"129",-77.0858330101877,-11.9799997512977
"130",-77.1108330100885,-11.9808330846276
"131",-77.1083330100984,-11.9808330846276
"132",-77.1066663434383,-11.9808330846276
"133",-77.1066663434383,-11.9808330846276
"134",-77.1041663434483,-11.9808330846276
"135",-77.1033330101183,-11.9808330846276
"136",-77.095833010148,-11.9808330846276
"137",-77.093333010158,-11.9808330846276
"138",-77.093333010158,-11.9808330846276
"139",-77.1008330101282,-11.9816664179576
"140",-77.0991663434681,-11.9816664179576
"141",-77.0991663434681,-11.9816664179576
"142",-77.0974996768081,-11.9816664179576
"143",-77.0974996768081,-11.9816664179576
"144",-77.095833010148,-11.9816664179576
"145",-77.0883330101778,-11.9816664179576
"146",-77.0874996768478,-11.9816664179576
"147",-77.1124996767485,-11.9824997512876
"148",-77.1124996767485,-11.9824997512876
"149",-77.1116663434185,-11.9824997512876
"150",-77.1058330101083,-11.9824997512876
"151",-77.1041663434483,-11.9824997512876
"152",-77.095833010148,-11.9824997512876
"153",-77.094999676818,-11.9824997512876
"154",-77.093333010158,-11.9824997512876
"155",-77.093333010158,-11.9824997512876
"156",-77.093333010158,-11.9824997512876
"157",-77.0883330101778,-11.9824997512876
"158",-77.0866663435178,-11.9824997512876
"159",-77.0849996768577,-11.9824997512876
"160",-77.1124996767485,-11.9833330846176
"161",-77.1124996767485,-11.9833330846176
"162",-77.1124996767485,-11.9833330846176
"163",-77.1124996767485,-11.9833330846176
"164",-77.1099996767584,-11.9833330846176
"165",-77.1091663434284,-11.9833330846176
"166",-77.1074996767684,-11.9833330846176
"167",-77.1074996767684,-11.9833330846176
"168",-77.1058330101083,-11.9833330846176
"169",-77.1008330101282,-11.9833330846176
"170",-77.1008330101282,-11.9833330846176
"171",-77.0991663434681,-11.9833330846176
"172",-77.0983330101381,-11.9833330846176
"173",-77.0983330101381,-11.9833330846176
"174",-77.094166343488,-11.9833330846176
"175",-77.0924996768279,-11.9833330846176
"176",-77.0908330101679,-11.9833330846176
"177",-77.0899996768379,-11.9833330846176
"178",-77.0891663435078,-11.9833330846176
"179",-77.0874996768478,-11.9833330846176
"180",-77.0849996768577,-11.9833330846176
"181",-77.0849996768577,-11.9833330846176
"182",-77.0833330101977,-11.9833330846176
"183",-77.0833330101977,-11.9833330846176
"184",-77.0833330101977,-11.9833330846176
"185",-77.0833330101977,-11.9833330846176
"186",-77.0799996768776,-11.9833330846176
"187",-77.1108330100885,-11.9841664179476
"188",-77.1049996767783,-11.9841664179476
"189",-77.1016663434582,-11.9841664179476
"190",-77.1008330101282,-11.9841664179476
"191",-77.1008330101282,-11.9841664179476
"192",-77.0991663434681,-11.9841664179476
"193",-77.0991663434681,-11.9841664179476
"194",-77.0991663434681,-11.9841664179476
"195",-77.0991663434681,-11.9841664179476
"196",-77.0966663434781,-11.9841664179476
"197",-77.095833010148,-11.9841664179476
"198",-77.0916663434979,-11.9841664179476
"199",-77.0908330101679,-11.9841664179476
"200",-77.0899996768379,-11.9841664179476
"201",-77.0899996768379,-11.9841664179476
"202",-77.0891663435078,-11.9841664179476
"203",-77.0891663435078,-11.9841664179476
"204",-77.0866663435178,-11.9841664179476
"205",-77.0866663435178,-11.9841664179476
"206",-77.0866663435178,-11.9841664179476
"207",-77.0799996768776,-11.9841664179476
"208",-77.0799996768776,-11.9841664179476
"209",-77.0799996768776,-11.9841664179476
"210",-77.1124996767485,-11.9849997512775
"211",-77.1091663434284,-11.9849997512775
"212",-77.1024996767882,-11.9849997512775
"213",-77.0991663434681,-11.9849997512775
"214",-77.0983330101381,-11.9849997512775
"215",-77.0966663434781,-11.9849997512775
"216",-77.094166343488,-11.9849997512775
"217",-77.0924996768279,-11.9849997512775
"218",-77.0924996768279,-11.9849997512775
"219",-77.0866663435178,-11.9849997512775
"220",-77.0816663435376,-11.9849997512775
"221",-77.1149996767386,-11.9858330846075
"222",-77.1141663434086,-11.9858330846075
"223",-77.1083330100984,-11.9858330846075
"224",-77.1074996767684,-11.9858330846075
"225",-77.1066663434383,-11.9858330846075
"226",-77.1066663434383,-11.9858330846075
"227",-77.1066663434383,-11.9858330846075
"228",-77.1058330101083,-11.9858330846075
"229",-77.1041663434483,-11.9858330846075
"230",-77.0966663434781,-11.9858330846075
"231",-77.095833010148,-11.9858330846075
"232",-77.095833010148,-11.9858330846075
"233",-77.094999676818,-11.9858330846075
"234",-77.0866663435178,-11.9858330846075
"235",-77.0849996768577,-11.9858330846075
"236",-77.0849996768577,-11.9858330846075
"237",-77.0849996768577,-11.9858330846075
"238",-77.0799996768776,-11.9858330846075
"239",-77.1133330100785,-11.9866664179375
"240",-77.1133330100785,-11.9866664179375
"241",-77.1108330100885,-11.9866664179375
"242",-77.1049996767783,-11.9866664179375
"243",-77.1049996767783,-11.9866664179375
"244",-77.1049996767783,-11.9866664179375
"245",-77.1024996767882,-11.9866664179375
